
83;I;19-08-22;50                                                                                                                                                                                                                                                
1860;I;06-10-22;200                                                                                                                                                                                                                                             
249;B;23-11-22;-10                                                                                                                                                                                                                                              
2734;I;06-10-22;150                                                                                                                                                                                                                                             
3473;B;03-10-22;-10                                                                                                                                                                                                                                             
3885;B;07-09-22;-1                                                                                                                                                                                                                                              
1689;B;03-03-23;-3                                                                                                                                                                                                                                              
672;I;19-08-22;100                                                                                                                                                                                                                                              
1781;I;20-12-22;100                                                                                                                                                                                                                                             
1196;B;24-08-22;-2                                                                                                                                                                                                                                              
4790;B;29-11-22;-2                                                                                                                                                                                                                                              
1284;B;24-08-22;-2                                                                                                                                                                                                                                              
1649;B;30-08-22;-1                                                                                                                                                                                                                                              
3458;B;09-09-22;-4                                                                                                                                                                                                                                              
3473;B;03-03-23;-10                                                                                                                                                                                                                                             
1997;B;24-08-22;-1                                                                                                                                                                                                                                              
4109;B;10-02-23;-6                                                                                                                                                                                                                                              
4773;B;01-09-22;-1                                                                                                                                                                                                                                              
2384;B;03-03-23;-2                                                                                                                                                                                                                                              
4679;B;01-09-22;-10                                                                                                                                                                                                                                             
3270;B;29-08-22;-1                                                                                                                                                                                                                                              
2132;B;12-12-22;-6                                                                                                                                                                                                                                              
4107;B;26-08-22;-4                                                                                                                                                                                                                                              
2896;B;24-08-22;-1                                                                                                                                                                                                                                              
1190;I;19-08-22;50                                                                                                                                                                                                                                              
672;B;24-08-22;-2                                                                                                                                                                                                                                               
1422;B;24-08-22;-1                                                                                                                                                                                                                                              
1392;I;19-08-22;50                                                                                                                                                                                                                                              
1530;I;19-08-22;100                                                                                                                                                                                                                                             
2988;B;24-08-22;-1                                                                                                                                                                                                                                              
2342;B;24-08-22;-2                                                                                                                                                                                                                                              
2132;B;12-12-22;-2                                                                                                                                                                                                                                              
2770;B;10-02-23;-4                                                                                                                                                                                                                                              
249;B;23-11-22;-10                                                                                                                                                                                                                                              
2218;B;03-03-23;-3                                                                                                                                                                                                                                              
4109;B;10-03-23;-34                                                                                                                                                                                                                                             
590;B;10-03-23;-1                                                                                                                                                                                                                                               
2983;B;03-03-23;-10                                                                                                                                                                                                                                             
4157;I;19-08-22;50                                                                                                                                                                                                                                              
590;B;10-03-23;-1                                                                                                                                                                                                                                               
2682;B;02-09-22;-120                                                                                                                                                                                                                                            
3458;B;14-09-22;-8                                                                                                                                                                                                                                              
3489;B;14-09-22;-5                                                                                                                                                                                                                                              
478;I;15-09-22;20                                                                                                                                                                                                                                               
2218;B;03-03-23;-2                                                                                                                                                                                                                                              
1928;B;03-03-23;-30                                                                                                                                                                                                                                             
2987;I;29-08-22;20                                                                                                                                                                                                                                              
3688;I;20-12-22;10                                                                                                                                                                                                                                              
1949;I;06-10-22;20                                                                                                                                                                                                                                              
2008;I;20-12-22;50                                                                                                                                                                                                                                              
3689;I;06-10-22;10                                                                                                                                                                                                                                              
1018;I;04-01-23;400                                                                                                                                                                                                                                             
6;B;07-09-22;-70                                                                                                                                                                                                                                                
1095;I;04-01-23;64                                                                                                                                                                                                                                              
1181;B;03-03-23;-2                                                                                                                                                                                                                                              
3894;I;04-11-22;1104                                                                                                                                                                                                                                            
3669;I;07-09-22;30                                                                                                                                                                                                                                              
3162;I;07-09-22;20                                                                                                                                                                                                                                              
4194;B;03-03-23;-4                                                                                                                                                                                                                                              
1934;I;07-09-22;10                                                                                                                                                                                                                                              
3458;B;14-09-22;-3                                                                                                                                                                                                                                              
338;B;11-02-19;-2                                                                                                                                                                                                                                               
155;B;22-11-18;-2                                                                                                                                                                                                                                               
2304;I;12-09-22;50                                                                                                                                                                                                                                              
1181;I;01-01-24;25                                                                                                                                                                                                                                              
2218;I;01-01-24;100                                                                                                                                                                                                                                             
1623;B;24-08-18;-1                                                                                                                                                                                                                                              
2592;B;24-08-18;-1                                                                                                                                                                                                                                              
3473;B;03-03-23;-2                                                                                                                                                                                                                                              
2132;B;12-12-22;-2                                                                                                                                                                                                                                              
249;B;23-11-22;-1                                                                                                                                                                                                                                               
3483;B;08-09-22;-10                                                                                                                                                                                                                                             
4774;B;30-09-22;-1                                                                                                                                                                                                                                              
2218;B;03-03-23;-10                                                                                                                                                                                                                                             
1449;I;30-11-22;50                                                                                                                                                                                                                                              
4024;I;30-11-22;100                                                                                                                                                                                                                                             
2769;I;30-11-22;200                                                                                                                                                                                                                                             
