
3481;I;10-12-21;100                                                                                                                                                                                                                                             
2562;I;10-12-21;30                                                                                                                                                                                                                                              
2682;I;10-12-21;100                                                                                                                                                                                                                                             
3473;B;09-05-22;-2                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
2718;I;10-12-21;30                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
3856;B;30-11-21;-1                                                                                                                                                                                                                                              
2926;I;25-10-21;500                                                                                                                                                                                                                                             
2562;B;10-12-21;-2                                                                                                                                                                                                                                              
4681;B;06-12-21;-1                                                                                                                                                                                                                                              
4681;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-2                                                                                                                                                                                                                                              
1102;I;15-12-21;30                                                                                                                                                                                                                                              
4571;I;20-12-21;50                                                                                                                                                                                                                                              
1396;I;20-12-21;500                                                                                                                                                                                                                                             
4099;I;20-12-21;200                                                                                                                                                                                                                                             
4100;I;20-12-21;200                                                                                                                                                                                                                                             
2838;I;20-12-21;2000                                                                                                                                                                                                                                            
1152;I;20-12-21;204                                                                                                                                                                                                                                             
4023;I;20-12-21;100                                                                                                                                                                                                                                             
1362;I;20-12-21;300                                                                                                                                                                                                                                             
1365;I;20-12-21;300                                                                                                                                                                                                                                             
4578;I;20-12-21;100                                                                                                                                                                                                                                             
3855;I;20-12-21;50                                                                                                                                                                                                                                              
2390;I;15-12-21;20                                                                                                                                                                                                                                              
207;B;03-12-21;-1                                                                                                                                                                                                                                               
3856;I;20-12-21;150                                                                                                                                                                                                                                             
1990;I;20-12-21;100                                                                                                                                                                                                                                             
1323;I;15-12-21;20                                                                                                                                                                                                                                              
3859;I;20-12-21;50                                                                                                                                                                                                                                              
4681;B;06-12-21;-1                                                                                                                                                                                                                                              
4681;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
1934;I;15-12-21;4                                                                                                                                                                                                                                               
3528;B;24-01-22;-1                                                                                                                                                                                                                                              
2008;B;24-01-22;-1                                                                                                                                                                                                                                              
2009;B;24-01-22;-1                                                                                                                                                                                                                                              
2010;B;24-01-22;-1                                                                                                                                                                                                                                              
2011;B;24-01-22;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
1413;I;25-10-21;500                                                                                                                                                                                                                                             
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-2                                                                                                                                                                                                                                              
3329;B;18-03-22;-6                                                                                                                                                                                                                                              
2211;B;24-01-22;-1                                                                                                                                                                                                                                              
1583;B;08-11-21;-2                                                                                                                                                                                                                                              
1573;B;26-11-21;-16                                                                                                                                                                                                                                             
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4549;B;15-11-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-2                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
4680;B;06-12-21;-1                                                                                                                                                                                                                                              
