
112;301201;1002;301;E5A;200                                                                                                                                                                                                                                     
115;301204;1002;301;E5B;320                                                                                                                                                                                                                                     
117;250021;1000B;250;F1;6                                                                                                                                                                                                                                       
118;250022;1000B;250A;F2;0                                                                                                                                                                                                                                      
119;250031;1000B;250;F1;2                                                                                                                                                                                                                                       
120;250032;1000B;250A;F2;4                                                                                                                                                                                                                                      
121;250033;1000B;250;F3;10                                                                                                                                                                                                                                      
122;250034;1000B;250A;F4;10                                                                                                                                                                                                                                     
123;250041;1000B;250;F3;8                                                                                                                                                                                                                                       
124;250051;1000B;250;F3;0                                                                                                                                                                                                                                       
125;250061;1000B;250;F3;0                                                                                                                                                                                                                                       
126;250052;1000B;250A;F4;50                                                                                                                                                                                                                                     
127;250062;1000B;250A;F4;0                                                                                                                                                                                                                                      
128;250065;1000B;250A;F6;0                                                                                                                                                                                                                                      
129;250066;1000B;250A;F6;0                                                                                                                                                                                                                                      
130;250067;1000B;250A;F6;0                                                                                                                                                                                                                                      
131;250068;1000B;250A;F6;0                                                                                                                                                                                                                                      
135;250057;1000B;250A;F5;0                                                                                                                                                                                                                                      
136;250047;1000B;250;F5;0                                                                                                                                                                                                                                       
137;250058;1000B;250A;F5;0                                                                                                                                                                                                                                      
138;250042;1000B;250A;F4;10                                                                                                                                                                                                                                     
153;226013;1000;226;D15;250                                                                                                                                                                                                                                     
154;226014;1000;226;D15;200                                                                                                                                                                                                                                     
155;998000;1099;997;;0                                                                                                                                                                                                                                          
162;205244;1000;205;B1B;150                                                                                                                                                                                                                                     
167;216222;1000A;217A;CY1;4                                                                                                                                                                                                                                     
168;217247;1000A;217;CY2;50                                                                                                                                                                                                                                     
169;205246;1000;205;B1A;150                                                                                                                                                                                                                                     
170;226011;1000;226;D14A;800                                                                                                                                                                                                                                    
171;226012;1000;226;D13A;100                                                                                                                                                                                                                                    
172;231001;1000;231;C33;150                                                                                                                                                                                                                                     
173;231002;1000;231;C33;400                                                                                                                                                                                                                                     
174;217244;1000A;217C;CY4;60                                                                                                                                                                                                                                    
178;205248;1000;205;B1C;250                                                                                                                                                                                                                                     
179;204121;1000A;204;A24;8                                                                                                                                                                                                                                      
180;204122;1000A;204;A24;30                                                                                                                                                                                                                                     
181;240001;1001;240;M2A;20                                                                                                                                                                                                                                      
182;216201;1000A;217A;CY1;6                                                                                                                                                                                                                                     
184;217223;1000A;217;CY6;2                                                                                                                                                                                                                                      
185;217242;1000A;217B;CY8;60                                                                                                                                                                                                                                    
187;217245;1000A;217B;CY6;12                                                                                                                                                                                                                                    
188;217246;1000A;217B;CY6;20                                                                                                                                                                                                                                    
189;216243;1000A;217A;CY1;20                                                                                                                                                                                                                                    
190;217248;1000A;217;CY3;60                                                                                                                                                                                                                                     
191;207161;1000;207;B2X1;80                                                                                                                                                                                                                                     
192;207202;1000;207;B2X1;100                                                                                                                                                                                                                                    
193;205161;1000;205;B5D;70                                                                                                                                                                                                                                      
195;205261;1000;205;B1D;10                                                                                                                                                                                                                                      
196;205262;1000;205;B1A;70                                                                                                                                                                                                                                      
197;206043;1000;206;B5B;100                                                                                                                                                                                                                                     
198;206082;1000;206;B5B;6                                                                                                                                                                                                                                       
199;205203;1000;205;B5T;6                                                                                                                                                                                                                                       
202;217261;1000A;217B;CY7;10                                                                                                                                                                                                                                    
203;228008;1000;228;A30;800                                                                                                                                                                                                                                     
204;203051;1000A;203;A4;15                                                                                                                                                                                                                                      
205;210012;1000A;230;B12L;4                                                                                                                                                                                                                                     
206;205225;1000;205;B1A;300                                                                                                                                                                                                                                     
43;207083;1000;207;B2X4;200                                                                                                                                                                                                                                     
221;206062;1000;206A;B5K;30                                                                                                                                                                                                                                     
222;208062;1000;208;B2X1;10                                                                                                                                                                                                                                     
32;205243;1000;205;B1E;900                                                                                                                                                                                                                                      
226;227011;1000;227;C34H;250                                                                                                                                                                                                                                    
227;271A82;1003A;272;H1F;5                                                                                                                                                                                                                                      
228;271A81;1003A;272;H1F;5                                                                                                                                                                                                                                      
238;216225;1000A;217A;CY1;10                                                                                                                                                                                                                                    
242;215201;1000A;215;;10                                                                                                                                                                                                                                        
243;215820;1000;215D;C37;50                                                                                                                                                                                                                                     
244;215822;1000;215D;C37;80                                                                                                                                                                                                                                     
